What is your lunar module's name? 
"'Snoopy', Houston. You're GO for powered descent."

     Time     |   Altitude   |   Velocity   |     Fuel     |   Throttle   
--------------+--------------+--------------+--------------+--------------
          0 s |     200.00 m |   -15.00 m/s |   1200.00 kg | ? 100
          1 s |     188.68 m |   -11.32 m/s |   1184.46 kg | ? 100
          2 s |     181.06 m |    -7.62 m/s |   1168.92 kg | ? 100
          3 s |     177.14 m |    -3.92 m/s |   1153.38 kg | ? 100
          4 s |     176.93 m |    -0.21 m/s |   1137.84 kg | ? 100
          5 s |     180.44 m |     3.51 m/s |   1122.30 kg | ? 100
          6 s |     187.69 m |     7.24 m/s |   1106.76 kg | ? 100
          7 s |     198.67 m |    10.98 m/s |   1091.22 kg | ? 100
          8 s |     213.41 m |    14.74 m/s |   1075.68 kg | ? 100
          9 s |     231.90 m |    18.50 m/s |   1060.14 kg | ? 100
         10 s |     254.17 m |    22.26 m/s |   1044.60 kg | ? 100
         11 s |     280.21 m |    26.04 m/s |   1029.06 kg | ? 100
         12 s |     310.05 m |    29.83 m/s |   1013.52 kg | ? 100
         13 s |     343.68 m |    33.63 m/s |    997.98 kg | ? 100
         14 s |     381.12 m |    37.44 m/s |    982.44 kg | ? 100
         15 s |     422.38 m |    41.26 m/s |    966.90 kg | ? 100
         16 s |     467.46 m |    45.09 m/s |    951.36 kg | ? 100
         17 s |     516.39 m |    48.93 m/s |    935.82 kg | ? 100
         18 s |     569.17 m |    52.77 m/s |    920.28 kg | ? 100
         19 s |     625.80 m |    56.63 m/s |    904.74 kg | ? 100
         20 s |     686.30 m |    60.50 m/s |    889.20 kg | ? 100
         21 s |     750.68 m |    64.38 m/s |    873.66 kg | ? 100
         22 s |     818.95 m |    68.27 m/s |    858.12 kg | ? 100
         23 s |     891.11 m |    72.17 m/s |    842.58 kg | ? 100
         24 s |     967.19 m |    76.08 m/s |    827.04 kg | ? 100
         25 s |    1047.19 m |    80.00 m/s |    811.50 kg | ? 100
         26 s |    1131.11 m |    83.92 m/s |    795.96 kg | ? 100
         27 s |    1218.97 m |    87.86 m/s |    780.42 kg | ? 100
         28 s |    1310.79 m |    91.81 m/s |    764.88 kg | ? 100
         29 s |    1406.56 m |    95.77 m/s |    749.34 kg | ? 100
         30 s |    1506.31 m |    99.75 m/s |    733.80 kg | ? 100
         31 s |    1610.04 m |   103.73 m/s |    718.26 kg | ? 100
         32 s |    1717.75 m |   107.72 m/s |    702.72 kg | ? 100
         33 s |    1829.48 m |   111.72 m/s |    687.18 kg | ? 100
         34 s |    1945.21 m |   115.73 m/s |    671.64 kg | ? 100
         35 s |    2064.97 m |   119.76 m/s |    656.10 kg | ? 100
         36 s |    2188.76 m |   123.79 m/s |    640.56 kg | ? 100
         37 s |    2316.60 m |   127.84 m/s |    625.02 kg | ? 100
         38 s |    2448.49 m |   131.89 m/s |    609.48 kg | ? 100
         39 s |    2584.45 m |   135.96 m/s |    593.94 kg | ? 100
         40 s |    2724.48 m |   140.04 m/s |    578.40 kg | ? 100
         41 s |    2868.61 m |   144.12 m/s |    562.86 kg | ? 100
